LFARG,LFFUNC,LFVAL
травма,S0_CAUSFUNC1,нанесение
отношение,S0_INCEPOPER1,установление
период,LOC,в
агрессия,CAUSFUNC0,вызывать
отсутствие,ADV2-UN,при
агрессия,CAUSFUNC0,вызывать
мир,LOC,в
год,LOC,в
мир,LOC,в
монография,CAUSFUNC0,писать
инвалид,MAGN,глубокий
спорт,OPER1,заниматься
программа,REAL1-M,осуществлять
россия,LOC,в
новосибирск,LOC,в
сша,LOC,в
трансплантация,OPER1,выполнять
возражение,MANIF,высказывать
россия,LOC,в
территория,LOC,на
россия,LOC,в
основа,ADV2-UN,на
учреждение,LOC,в
сфера,LOC,в
обследование,OPER1,проводить
операция,OPER1,проводить
курс,OPER1,быть
возраст,ADV1-UN,в
страна,LOC,в
почтение,LABOR1-2,относиться
причина,ADV2-UN,по
кома,FINOPER1,выходить
кома,MAGN,глубокий
диагноз,S0_CAUSFUNC0,постановка
образование,OPER2,иметь
развязка,INCEPFUNC0,наступать
пересадка,OPER1,делать
бельгия,LOC,в
заявление,OPER1,делать
заседание,LOC,на
москва,LOC,в
татария,LOC,в
речь,FUNC0,идти
оценка,OPER1,делать
факт,FUNC0,говорить
книга,CAUSFUNC0,писать
факт,VER,непреложный
распоряжение,ADV2-UN,по
речь,FUNC0,идти
цель,MAGN,главный
возможность,FUNC1,быть
область,LOC,в
задача,CAUSFACT0-M,выполнять
период,LOC,в
прошлое,LOC,в
колония,LOC,в
эпоха,LOC,в
уважение,LABOR1-2,относиться
уважение,LABOR1-2,относиться
прошлое,LOC,в
страна,LOC,в
время,LOC,в
книга,CAUSFUNC0,писать
бояться,MAGN,очень
вывод,OPER1,делать
учебник,CAUSFUNC0,писать
страна,LOC,в
кампания,FUNC0,проходить
россия,LOC,в
бизнес,S0_OPER1,занятие
школа,CAP,директор
город,LOC,в
обвинение,OPER1,предъявлять
дело,CAUSFUNC0,заводить
аналогия,MAGN,полный
взятка,REAL3-M,брать
возможность,FUNC1,быть
россия,LOC,в
взятка,REAL3-M,брать
период,LOC,в
правление,LOC,в
причина,ADV2-UN,по
союз,LOC,в
характер,INCEPOPER1,приобретать
государство,LOC,в
средства,REAL1,тратить
характер,INCEPOPER1,принимать
азербайджан,LOC,в
страна,LOC,в
запад,LOC,на
власть,OPER1,находиться
власть,S0_INCEPOPER1,приход
направление,ADV1-UN,в
вина,FUNC2,заключаться
россия,LOC,в
россия,LOC,в
комната,LOC,в
вопрос,INCEPFUNC0,вставать
одиночество,ADV1-UN,в
данные,ADV2-UN,по
возможность,REAL1-M,пользоваться
слух,FUNC0,ходить
возможный,MAGN,вполне
дивиденд,OPER3,приносить
состояние,OPER1,быть
связывать,MAGN,тесно
знать,MAGN,хорошо
цена,OPER1,иметь
дружба,ADV1-UN,в
друг,MAGN,близкий
внимание,OPER2,привлекать
школа,LOC,в
победа,OPER1,одерживать
трагедия,OPER1,переживать
век,LOC,в
основа,ADV2-UN,на
место,LOC,на
проблема,OPER1,испытывать
проблема,MAGN,большой
период,LOC,в
соблазн,INCEPFUNC0,возникать
рязань,LOC,в
памятник,CAUSFUNC0,ставить
вопрос,OPER1,задавать
вопрос,OPER1,задавать
сеть,LOC,в
задача,CAUSFUNC1,ставить
объяснение,REAL3-M,понимать
понимать,MAGN,хорошо
век,LOC,в
будущее,MAGN,далекий
спор,FUNC0,идти
речь,FUNC0,идти
выбор,OPER1,делать
результат,CAUSFUNC0,получать
уровень,LOC,на
преподавание,OPER1,вести
телевизор,ADV1-UN,по
урок,REAL1-M,вести
вопрос,OPER1,ставить
шаг,OPER1,делать
падать,MAGN,катастрофически
результат,ADV2-UN,в
ответ,ADV2-UN,в
мысль,BON,умный
образование,INCEPOPER2,получать
университет,LOC,в
владивосток,LOC,в
грозный,LOC,в
школа,LOC,в
проблема,CAUSFACT0-M,решать
роль,OPER1,играть
роль,MAGN,важный
прошлое,LOC,в
древность,LOC,в
франция,LOC,в
борода,MAGN,длинный
сила,FINOPER1,терять
власть,OPER1,обладать
маска,INCEPREAL1,надевать
суд,OPER1,вершить
африка,LOC,в
европа,LOC,в
обязанность,REAL1-M,исполнять
султанат,LOC,в
маска,REAL1,носить
швейцария,LOC,в
функция,OPER1,выполнять
маска,INCEPREAL1,надевать
маска,REAL1,носить
использовать,MAGN,широко
маска,INCEPREAL1,надевать
габон,LOC,в
век,LOC,в
маска,INCEPREAL1,надевать
меланезия,LOC,в
япония,LOC,в
китай,LOC,в
маска,REAL1,носить
театр,LOC,в
эмоция,MANIF,выражать
маска,REAL1,носить
крик,MAGN,громкий
город,LOC,в
городок,LOC,в
улица,LOC,на
страна,LOC,в
тулуп,INCEPREAL1,надевать
шум,CAUSFUNC0,устраивать
верить,MAGN,всерьез
мир,LOC,в
москва,LOC,в
ответственность,OPER1,нести
речь,FUNC0,идти
фон,LOC,на
заявление,OPER1,выступать
парламент,LOC,в
долг,S0_REAL1-M,погашение
помощь,OPER2,получать
требование,MAGN,жесткий
роль,OPER1,играть
брюссель,LOC,в
ес,LOC,в
брюссель,LOC,в
время,INCEPFUNC0,наступать
удар,OPER1,наносить
начало,LOC,в
проблема,CAUSFACT0-M,решать
парламент,LOC,в
покой,ADV1-UN,в
потеря,OPER1,нести
регион,LOC,в
лицензия,OPER3,получать
проблема,CAUSFACT0-M,решать
помощь,OPER2,получать
компромисс,OPER1,достигать
рынок,LOC,на
соглашение,INCEPOPER1,достигать
отношение,OPER1,иметь
москва,LOC,в
положение,OPER1,находиться
германия,LOC,в
день,LOC,в
страница,LOC,на
власть,S0_INCEPOPER1,приход
вопрос,INCEPFUNC0,возникать
выборы,FUNC0,состояться
мюнхен,LOC,в
сентябрь,LOC,в
комиссия,CAUSFUNC0,создавать
курс,OPER1,брать
форма,ADV1-UN,в
место,LOC,на
момент,LOC,в
гамбург,LOC,в
пост,LOC,на
восстание,LIQUFUNC0,подавлять
год,LOC,в
россия,LOC,в
время,LOC,в
москва,LOC,в
задача,CAUSFACT0-M,решать
роль,ADV1-UN,в
март,LOC,в
самолет,INCEPREAL1,садиться
день,LOC,в
время,LOC,в
германия,LOC,в
год,LOC,в
соответствие,ADV1-UN,в
гарцбург,LOC,в
конец,LOC,в
встреча,FUNC0,состояться
дюссельдорф,LOC,в
германия,LOC,в
мир,LOC,в
аплодисменты,INCEPLABOR1-2,награждать
задача,S0_CAUSFACT0-M,решение
республика,LOC,в
правительство,EQUIP,состав
выборы,FUNC0,состояться
выборы,FUNC0,проходить
улица,LOC,на
берлин,LOC,в
рейхстаг,LOC,в
арест,OPER1,производить
ноябрь,LOC,в
коалиция,INCEPOPER1,вступать
большинство,MAGN,абсолютный
берлин,LOC,в
потсдам,LOC,в
заседание,CAUSFUNC0,проводить
вопрос,OPER1,ставить
закон,S0_CAUSFUNC0,принятие
вопрос,INCEPFUNC1,вставать
рейхстаг,LOC,в
решение,OPER1,принимать
закон,CAUSFUNC0,принимать
год,LOC,в
март,LOC,в
поддержка,ADV2-UN,при
решение,OPER1,принимать
день,LOC,в
площадь,LOC,на
местечко,LOC,в
германия,LOC,в
день,LOC,в
бойкот,OPER1,объявлять
день,LOC,в
цель,OPER1,иметь
вывод,OPER1,делать
страна,LOC,в
статья,LOC,в
год,LOC,в
результат,ADV2-UN,в
университет,CAP,ректор
год,LOC,в
расход,FUNC2,составлять
год,LOC,в
рейхстаг,LOC,в
печать,ADV2-UN,в
сомнение,CAUSFUNC0,вызывать
год,LOC,в
поражение,OPER1,потерпеть
поражение,MAGN,сокрушительный
начало,LOC,в
битва,LOC,в
капитуляция,MAGN,безоговорочный
март,LOC,в
май,LOC,в
год,LOC,в
революция,OPER1,совершать
чувство,OPER1,испытывать
операция,MAGN,сложный
список,CAUSOPER1,включать
изменение,OPER2,претерпевать
боль,CAUSFUNC0,вызывать
исследование,MAGN,детальный
год,LOC,в
век,LOC,в
боль,S0_INCEPFUNC0,возникновение
заболевание,OPER1,страдать
состояние,ANTIVER,патологический
боль,OPER1,чувствовать
боль,MAGN,острый
состояние,INCEPOPER1,впадать
фон,LOC,на
степень,MAGN,значительный
воздействие,OPER1,оказывать
воздействие,BON,благотворный
боль,CAUSFUNC0,вызывать
боль,S0_INCEPFUNC0,появление
категория,OPER1,относиться
боль,CAUSFUNC0,вызывать
причина,VER,истинный
место,OPER1,занимать
год,LOC,в
боль,S0_INCEPFUNC0,возникновение
ощущение,ANTIBON,неприятный
мысль,CAUSOPER1,наводить
уровень,LOC,на
боль,S0_INCEPFUNC0,возникновение
данные,ADV2-UN,по
год,LOC,в
применение,MAGN,широкий
эффект,OPER1,давать
процесс,FUNC0,проходить
боль,OPER1,испытывать
активность,MANIF,проявлять
операция,OPER1,проводить
операция,MAGN,тяжелый
операция,MAGN,сложный
боль,S0_INCEPFUNC0,возникновение
подход,REAL1-M,использовать
страна,LOC,в
направление,ADV1-UN,в
свойство,OPER1,обладать
проявляться,MAGN,ярко
день,LOC,в
поиск,OPER1,вести
срок,LOC,в
круг,OPER1,входить
обоснование,OPER1,давать
век,LOC,в
образование,INCEPOPER2,получать
университет,LOC,в
европа,LOC,в
россия,LOC,в
влияние,ADV2-UN,под
ученик,ANTIBON,слабый
любопытство,VER,естественный
проблема,INCEPFUNC0,возникать
знание,S0_INCEPOPER1,получение
право,FINOPER1,лишаться
противоречие,INCEPOPER1,вступать
век,LOC,в
стык,LOC,на
основа,CAUSOPER1,класть
урок,LOC,на
мир,LOC,в
требование,MAGN,жесткий
россия,LOC,в
школа,LOC,в
вывод,OPER1,делать
активность,MANIF,проявлять
страна,LOC,в
задача,FUNC0,стоять
нью-йорк,LOC,в
причина,ADV2-UN,по
образование,S0_INCEPOPER2,получение
отказываться,MAGN,напрочь
экзамен,OPER2,сдавать
год,LOC,в
европа,LOC,в
англия,LOC,в
россия,LOC,в
жертва,LABOR1-2,приносить
экзамен,OPER2,сдавать
англия,LOC,в
возможность,CAUSFUNC1,предоставлять
мастерская,LOC,в
шахматы,REAL1,играть
время,LOC,в
проблема,MAGN,серьезный
школа,LOC,в
школа,LOC,в
школа,LOC,в
вопрос,INCEPFUNC1,вставать
школа,REAL1,учиться
большинство,MAGN,абсолютный
внимание,OPER1,уделять
возрастать,MAGN,значительно
школа,LOC,в
результат,MAGN,высокий
результат,CAUSFUNC0,добиваться
проблема,FUNC0,иметься
педагогика,OPER1,заниматься
оценка,CAUSFUNC1,выставлять
отличаться,MAGN,сильно
школа,LOC,в
фон,LOC,на
россия,LOC,в
русло,LOC,в
задача,CAUSFACT0-M,решать
ответственность,INCEPOPER1,брать
сша,LOC,в
школа,LOC,в
россия,LOC,в
возраст,ADV1-UN,в
проблема,REAL1-M,справляться
интернет,LOC,в
помощь,INCEPOPER1,приходить
зачет,OPER2,сдавать
школа,LOC,в
школа,LOC,в
экзамен,OPER2,сдавать
образование,S0_INCEPOPER2,получение
сила,OPER1,иметь
экзамен,OPER2,сдавать
возможность,OPER1,иметь
ответственность,INCEPFUNC1,ложиться
экзамен,S0_OPER2,сдача
функция,OPER1,выполнять
экзамен,OPER1,принимать
союз,LOC,в
провинция,LOC,в
возможность,INCEPFUNC0,появляться
важный,MAGN,чрезвычайно
внимание,OPER1,уделять
среда,CAUSFUNC0,создавать
возможность,OPER1,иметь
территория,LOC,на
связь,LIQUFUNC0,разрывать
параплан,REAL1,летать
деревня,LOC,в
параплан,LOC,на
интерес,MAGN,огромный
описывать,MAGN,подробно
экспедиция,OPER1,участвовать
потребность,REAL1-M,удовлетворять
потребность,MAGN,острый
опыт,OPER1,иметь
значение,MAGN,огромный
работа,S0_OPER1,ведение
информация,INCEPOPER1,добывать
деятельность,S0_OPER1,участие
страна,LOC,в
место,OPER1,занимать
желание,VER,естественный
образование,MAGN,широко
эпоха,LOC,в
распространение,MAGN,широкий
перспектива,ADV1-UN,в
поле,LOC,на
время,INCEPFUNC0,приходить
переговоры,INCEPOPER1,вступать
день,LOC,в
страна,LOC,в
информация,INCEPOPER1,получать
связывать,MAGN,напрямую
внимание,OPER2,привлекать
внимание,MAGN,особый
восток,LOC,на
одиночество,ADV1-UN,в
судьба,ANTIBON,горький
египет,LOC,в
война,OPER1,вести
тартус,LOC,в
безразличный,MAGN,глубоко
интерес,MAGN,особый
время,LOC,в
аэропорт,LOC,в
значение,OPER1,иметь
нью-йорк,LOC,в
восток,LOC-AD,на
осторожность,CAUSFUNC0,требовать
речь,FUNC0,идти
причина,ADV2-UN,по
точка,CAUSFUNC0,ставить
изменение,CAUSFUNC1,вносить
распространение,MAGN,широкий
проблема,INCEPFUNC0,возникать
век,LOC,в
критерий,REAL3-M,удовлетворять
общество,INCEPOPER1,входить
пример,OPER2,служить
друг,MULT,круг
дискуссия,MAGN,ожесточенный
заблуждение,CAUSOPER1,вводить
непохожий,MAGN,совершенно
основа,OPER1,лежать
характер,OPER1,носить
значение,OPER1,иметь
значение,MAGN,принципиальный
сомнение,CAUSFUNC0,вызывать
информация,S0_INCEPOPER1,получение
издание,ADV2-UN,в
представление,INCEPOPER1,составлять
навык,INCEPOPER1,овладевать
революция,OPER1,совершать
ограничение,CAUSFUNC2,накладывать
прошлое,LOC,в
возможный,MAGN,вполне
будущее,LOC,в
урок,LOC,на
радио,LABREAL1-2,слышать
репутация,FUNC1,быть
власть,INCEPOPER1,приходить
реформа,OPER1,проводить
время,LOC,в
китай,LOC,в
реформа,OPER1,проводить
результат,ADV2-UN,в
куба,LOC,на
отношение,OPER1,быть
начало,LOC,в
враг,MAGN,злейший
преобразование,OPER1,осуществлять
власть,INCEPOPER1,приходить
совет,CAP,председатель
одобрение,OPER2,встречать
причина,ADV2-UN,по
преступление,OPER1,совершать
власть,INCEPOPER1,приходить
год,LOC,в
действие,OPER1,предпринимать
желание,MAGN,настойчивый
расчет,FACT0-M,оправдываться
начало,OPER2,быть
время,LOC,в
кубань,LOC,на
атака,REAL2-M,отражать
оборона,OPER1,держать
приказ,ADV2-UN,по
медаль,MAGN,золотой
известный,MAGN,широко
армия,LOC,в
губерния,LOC,в
акция,OPER1,участвовать
медаль,MAGN,золотой
сентябрь,LOC,в
название,INCEPOPER1,получать
год,LOC,в
год,LOC,в
командование,ADV2-UN,под
смятение,ADV1-UN,в
звание,INCEPOPER1,получать
разрешение,OPER3,получать
трон,INCEPREAL1-M,вступать
опала,INCEPOPER2,попадать
аудиенция,OPER2,удостаиваться
радость,MANIF,выражать
год,LOC,в
дон,LOC,на
европа,LOC,в
пруссия,LOC,в
плен,INCEPLABOR1-2,захватывать
бегство,CAUSOPER1,обращать
год,LOC,в
героизм,MANIF,проявлять
орден,LABOR1-2,награждать
дань,OPER1,отдавать
присутствие,ADV2-UN,в
мнение,ADV2-UN,по
июнь,LOC,в
день,LOC,в
удар,OPER1,наносить
прием,REAL1-M,применять
ловушка,INCEPOPER1,попадать
война,INCEPFUNC0,начинаться
разгар,ADV1-UN,в
предводительство,ADV2-UN,под
план,REAL1-M,реализовать
паника,CAUSFUNC0,вызывать
совет,FUNC0,состояться
фили,LOC,в
день,LOC,в
москва,LOC,в
дон,LOC,на
результат,ADV2-UN,в
приказ,OPER1,давать
задание,REAL3-M,выполнять
задание,MAGN,важный
конец,LOC,в
плен,INCEPLABOR1-2,брать
орден,LABOR1-2,награждать
поле,LOC,на
лондон,LOC,в
кампания,S0_FINOPER1,завершение
овация,INCEPLABOR1-2,встречать
берег,LOC-AD,на
имя,CAUSOPER1,называть
новочеркасск,LOC,в
год,LOC,в
закон,CAUSFUNC0,принимать
приличие,OPER1,соблюдать
страсбург,LOC,в
точка,CAUSFUNC0,ставить
пора,LOC,в
возможный,MAGN,вполне
компенсация,OPER3,получать
речь,FUNC0,идти
право,OPER1,иметь
принцип,REAL1-M,следовать
браслет,REAL1,носить
тюрбан,INCEPREAL1,надевать
долг,S0_REAL1-M,исполнение
армия,INCEPREAL1,идти
долг,REAL1-M,выполнять
правило,REAL3-M,выполнять
закон,CAUSFUNC0,принимать
конфликт,INCEPOPER1,вступать
конкуренция,OPER1,составлять
угроза,INCEPLABOR1-2,ставить
угроза,MAGN,серьезный
дискриминация,OPER2,подвергаться
попытка,FACT0-M,удаваться
блог,OPER1,вести
россия,LOC,в
качество,OPER1,обладать
еда,BON,вкусный
запад,LOC,на
россия,LOC,в
земля,LOC,на
тупик,CAUSOPER1,ставить
рынок,LOC,на
проблема,MAGN,большой
еда,BON,вкусный
начало,LOC,в
завод,LOC,на
изменение,MAGN,радикальный
изменение,FUNC0,происходить
деньги,REAL1,тратить
еда,BON,вкусный
германия,LOC,в
область,LOC,в
дом,REAL1,жить
дар,FINOPER1,терять
начало,LOC,в
свекла,CAUSFUNC0,выращивать
территория,LOC,на
еда,BON,вкусный
москва,LOC,в
деревня,LOC,в
россия,LOC,в
деревня,LOC,в
франция,LOC,в
россия,LOC,в
деревня,LOC,в
испытание,MAGN,серьезный
век,LOC,в
подозрение,OPER1,испытывать
рынок,LOC,на
интернет,LOC,в
удивление,BON,радостный
отношение,INCEPOPER1,устанавливать
рим,LOC,в
успех,INCEPOPER1,добиваться
количество,MAGN,большой
область,LOC,в
франция,LOC,в
вертолет,LOC,на
дом,REAL1,жить
дом,CAUSFUNC0,строить
франция,LOC,в
потенциал,MAGN,огромный
европа,LOC,в
агробизнес,S0_OPER1,занятие
потенциал,MAGN,огромный
шанс,REAL1-M,пользоваться
россия,LOC,в
школа,REAL1,ходить
воздух,BON,свежий
еда,BON,вкусный
большинство,MAGN,подавляющий
глаз,CAUSFACT0,открывать
перелом,FUNC0,происходить
расстояние,ADV1-UN,на
большинство,MAGN,подавляющий
книга,CAUSFUNC0,писать
тупик,INCEPOPER1,попадать
начало,LOC,в
ситуация,INCEPFUNC0,складываться
цена,MAGN,высокий
причина,VER,истинный
атмосфера,LOC,в
интернет,LOC,в
надежда,FUNC0,быть
здание,LOC,в
неудача,OPER1,терпеть
страна,LOC,в
запад,LOC,на
год,LOC,в
чехословакия,LOC,в
факультет,INCEPREAL1,поступать
бой,MAGN,упорный
бой,FUNC0,идти
кругозор,MAGN,широкий
страна,LOC,в
время,LOC,в
власть,S0_INCEPOPER1,приход
москва,LOC,в
ленинград,LOC,в
ситуация,INCEPFUNC0,складываться
страна,LOC,в
мир,LOC,в
год,LOC,в
страна,LOC,в
будапешт,LOC,в
польша,LOC,в
начало,LOC,в
факультет,INCEPREAL1,поступать
убеждение,MAGN,глубокий
время,LOC,в
реформа,OPER1,осуществлять
цель,FUNC2,состоять
направление,ADV1-UN,в
условие,CAUSFUNC0,создавать
шанс,ANTIREAL1-M,упускать
операция,OPER1,делать
анализ,OPER1,делать
период,LOC,в
семья,LOC,в
возможность,REAL1-M,пользоваться
место,LOC,в
бизнес,OPER1,заниматься
время,ANTIBON,тяжелый
страна,LOC,в
рекомендация,OPER1,давать
позиция,OPER1,занимать
год,LOC,в
образование,BON,блестящий
круг,OPER1,входить
имя,OPER1,носить
институт,CAP,директор
конец,LOC,в
свидетельство,OPER1,приводить
реформа,OPER1,проводить
этап,LOC,на
условие,CAUSFUNC0,создавать
дискуссия,INCEPOPER1,начинать
проблема,FUNC2,заключаться
функция,OPER1,исполнять
время,LOC,в
уважение,OPER1,испытывать
вклад,OPER1,вносить
детство,LOC,в
семья,LOC,в
характер,CAUSFUNC0,формировать
книга,CAUSFUNC0,писать
мир,LOC,в
здоровье,FINOPER1,подрывать
дублин,LOC,в
работа,S0_FINOPER1,завершение
работа,S0_FINOPER1,завершение
сражение,FUNC0,идти
начало,LOC,в
год,LOC,в
юг,LOC,на
июль,LOC,в
настроение,ANTIREAL1-M,подавленный
сталинград,LOC,в
мера,OPER1,принимать
июль,LOC,в
город,LOC,в
возраст,ADV1-UN,в
москва,LOC,в
сталинград,LOC,в
август,LOC,в
оборона,REAL2-M,прорывать
сопротивление,OPER2,встречать
попытка,FINREAL1-M,отказываться
поле,LOC,на
изумление,CAUSFUNC1,вызывать
бомбардировка,LABOR1-2,подвергать
день,LOC,в
бой,OPER1,вести
бой,MAGN,ожесточенный
бой,OPER1,вести
влияние,OPER1,оказывать
потеря,MAGN,большой
переправа,LOC,на
август,LOC,в
конец,LOC,в
глаз,CAUSFACT0,открытый
хлеб,REAL1,есть
обед,ADV2-UN,на
время,LOC,в
терпение,FINFUNC0,кончаться
количество,MAGN,большой
сумасшествие,MAGN,полный
сталинград,LOC,в
армия,LOC,в
место,LOC,в
цель,REAL1-M,достигать
значение,OPER1,иметь
задача,FUNC1,стоять
день,LOC,в
бой,FUNC0,идти
конец,LOC,в
война,INCEPFUNC0,начинаться
день,LOC,в
земля,LOC,на
план,ANTIFACT0-M,проваливаться
фронт,LOC,на
приказ,ADV2-UN,по
удар,OPER1,наносить
фронт,LOC,на
требование,REAL2-M,соответствовать
удар,OPER1,наносить
район,LOC,в
приказ,ADV2-UN,по
момент,LOC,в
декабрь,LOC,в
декабрь,LOC,в
надежда,FINOPER1,терять
группа,CAUSFUNC0,создавать
задача,CAUSFUNC1,ставить
юг,LOC,на
ведение,OPER2,находиться
здание,LOC,в
территория,LOC,на
июль,LOC,в
время,LOC,в
сталинград,LOC,в
город,LOC,в
результат,ADV2-UN,в
город,LOC,в
перерыв,LOC,в
впечатление,CAUSFUNC1,производить
ультиматум,OPER1,предъявлять
предложение,ANTIREAL3-M,отвергать
наступление,INCEPOPER1,переходить
сопротивление,OPER1,оказывать
сопротивление,MAGN,стойкий
армия,LOC,в
совесть,VER,чистый
долг,REAL1-M,исполнять
жизнь,FINOPER1,отдавать
день,LOC,в
сопротивление,OPER1,оказывать
этап,LOC,на
конец,INCEPFUNC0,наступать
бой,OPER1,давать
поле,LOC,на
москва,LOC,в
страна,LOC,в
угроза,VER,реальный
киров,LOC,в
картина,CAUSFUNC0,рисовать
речь,INCEPFUNC0,заходить
имя,ADV1-UN,по
интернет,LOC,в
известный,MAGN,широко
уважение,INCEPOPER1,проникаться
решение,OPER1,принимать
презрение,MAGN,глубокий
выборы,S0_OPER1,проведение
кампания,OPER1,вести
возможность,FUNC1,быть
бой,OPER1,давать
поле,LOC,на
москва,LOC,в
согласие,INCEPOPER1,достигать
кандидат,S0_CAUSFUNC0,выдвижение
результат,ADV2-UN,в
договоренность,ANTIREAL1-M,нарушать
шанс,FUNC0,быть
москва,LOC,в
внимание,OPER2,привлекать
план,REAL1-M,реализовать
оценка,BON,положительный
благодарность,VER,искренний
отвечать,VER,ясно
россия,LOC,в
уровень,LOC,на
темп,MAGN,высокий
заседание,LOC,на
ерунда,MAGN,полный
страна,LOC,в
задача,CAUSFUNC0,ставить
страна,LOC,в
задача,S0_CAUSFACT0-M,решение
результат,S0_CAUSFUNC0,достижение
работа,S0_FINOPER1,завершение
работа,S0_FINOPER1,завершение
задача,S0_CAUSFACT0-M,решение
определять,MAGN,строго
задача,CAUSFUNC0,ставить
задача,S0_CAUSFACT0-M,решение
процесс,FUNC0,идти
задача,S0_CAUSFACT0-M,решение
задача,S0_CAUSFACT0-M,решение
преобразование,OPER1,осуществлять
работа,FINOPER1,завершать
результат,OPER1,выдавать
результат,OPER1,выдавать
результат,OPER1,давать
результат,OPER1,давать
определение,OPER1,давать
описание,OPER1,давать
индия,LOC,в
сочинение,CAUSFUNC0,писать
перевод,ADV2-UN,в
название,CAUSFUNC1,давать
спор,MAGN,ожесточенный
спор,CAUSFUNC0,вызывать
объяснение,OPER1,давать
имя,CAUSFUNC1,давать
поэма,CAUSFUNC0,писать
роман,LOC,в
известный,MAGN,хорошо
год,LOC,в
столетие,FINFUNC0,проходить
внимание,OPER1,обращать
вид,INCEPOPER1,приобретать
внимание,CAUSFUNC0,обращать
год,LOC,в
проблема,S0_CAUSFACT0-M,решение
проблема,S0_CAUSFACT0-M,решение
задача,S0_CAUSFACT0-M,решение
издание,ADV2-UN,в
год,LOC,в
издание,CAUSFUNC0,издавать
правило,REAL3-M,выполнять
объяснение,OPER1,давать
определять,MAGN,строго
издание,ADV2-UN,в
внимание,MAGN,пристальный
издание,ADV2-UN,в
